,br_koraka,sample_size,maxA
0,50,1,1.0
1,100,1,1.0
2,250,1,1.0
3,500,1,1.0
4,1000,1,1.0
5,50,5,0.5800000000000001
6,100,5,0.5800000000000001
7,250,5,0.64
8,500,5,0.56
9,1000,5,0.56
10,50,50,0.6487999999999999
11,100,50,0.649
12,250,50,0.6524
13,500,50,0.6426
14,1000,50,0.6426
15,50,100,0.5264
16,100,100,0.5388
17,250,100,0.5458999999999999
18,500,100,0.5419499999999999
19,1000,100,0.5419499999999999
20,50,300,0.5093777777777778
21,100,300,0.5058055555555555
22,250,300,0.5086722222222222
23,500,300,0.5012333333333333
24,1000,300,0.5012333333333333
