,N,size,br_hrane_po_stepenu,br_stepena_otrovnosti,agent_memory_size,agent_walk_energy
0,0.44484999999999997,0.7552,0.2944,0.3248,0.0689,0.9935
1,0.43515,0.8702,0.2646,0.17559999999999998,0.07855000000000001,1.0
2,0.41295000000000004,0.9022,0.23535,0.04215,0.0577,1.0
3,0.4383,0.9127,0.21330000000000002,0.0199,0.022099999999999998,1.0
4,0.44025,0.92315,0.166,0.0099,0.04455,1.0
5,0.44215,0.9268,0.16695,0.0,0.05085,1.0
6,0.4314,0.9291,0.1381,0.0,0.0444,1.0
7,0.42805,0.9304,0.13085,0.0,0.05275,1.0
8,0.42414999999999997,0.9302,0.12765,0.03,0.03055,1.0
9,0.426,0.93175,0.11424999999999999,0.0198,0.05095,1.0
10,0.412,0.93155,0.12975,0.0,0.03695,1.0
11,0.4208,0.9309499999999999,0.1139,0.0,0.0367,1.0
12,0.4213,0.93075,0.031400000000000004,0.0,0.06185,1.0
13,0.4142,0.9303,0.0264,0.0,0.02545,1.0
14,0.4281,0.93085,0.0296,0.01,0.0039,1.0
15,0.4281,0.9309,0.02,0.0,0.0477,1.0
16,0.4352,0.9307,0.0,0.01,0.032049999999999995,1.0
17,0.427,0.9306,0.0,0.01,0.0238,1.0
18,0.431,0.93005,0.02,0.0,0.044149999999999995,1.0
19,0.4265,0.9319,0.0,0.0,0.059199999999999996,1.0
20,0.419,0.93,0.0,0.0137,0.04775,1.0
21,0.4273,0.9308,0.01,0.0,0.0281,1.0
22,0.4183,0.9304,0.0,0.02,0.04285,1.0
23,0.432,0.93125,0.0,0.0,0.037899999999999996,1.0
24,0.55515,0.2448,0.7056,0.6752,0.9311,0.0065
25,0.4853,0.8405,0.4144,0.3329,0.38284999999999997,0.996
26,0.47404999999999997,0.9455,0.36895,0.0638,0.2661,1.0
27,0.5223,0.9727,0.33375,0.0202,0.17585,1.0
28,0.5234,0.9862,0.27049999999999996,0.01,0.18355000000000002,1.0
29,0.5417,0.9908,0.2832,0.0,0.11795,1.0
30,0.5246,0.99295,0.24860000000000002,0.0,0.12,1.0
31,0.5105999999999999,0.9947,0.22294999999999998,0.0,0.12185,1.0
32,0.5081,0.99445,0.2352,0.03,0.0995,1.0
33,0.509,0.9961,0.20335,0.01965,0.11689999999999999,1.0
34,0.4744,0.9951,0.21905,0.0,0.1101,1.0
